name,pipeline,status,deblur,sharp_keep,frames,n_dropped_blurry,sharp_median,registered,points3D,mean_reproj_err_px,gaussians,ply_mb,t_extract_s,t_colmap,seconds,t_wall_s
m04_giant-jenga-and,brush,done,,,40/40,,1328.8,40,6860,0.748545,364749,21.52,0.4,45.1,912.0,959.2
m12_shaded-seating-area,brush,done,,,40/40,,1852.5,36,7133,0.585005,519429,30.65,0.2,20.3,1074.1,1095.8
"m14_man-with-bicycle,",brush,done,,,40/40,,2256.6,40,3830,0.745679,304502,17.97,0.3,28.6,793.5,823.9
m15_art-installations-on,brush,done,,,48/48,,2659.8,35,4540,0.623803,32282,1.91,0.3,53.8,669.9,725.4
m17_man-on-phone,brush,done,,,55/55,,1895.0,52,6757,0.881319,10000,0.59,0.5,106.6,980.0,1088.6
"m18_man-by-bicycle,",brush,done,,,40/40,,2298.6,18,98,0.273275,8330,0.49,0.6,65.1,1174.8,1242.1
"m20_garden-area,-white",brush,done,,,40/40,,1510.5,40,8686,0.565705,370571,21.86,0.3,32.0,916.5,950.1
"m05_med_walking-path,-cn",brush,done,,,55/55,,2387.9,55,9094,0.607848,259263,15.3,0.6,54.1,638.3,694.6
"m09_med_music-record-sale,",brush,done,,,55/55,,2868.7,55,6304,0.615191,134538,7.94,0.4,57.5,590.2,649.5
"m00_med_cornhole-game,-city",brush,done,,,55/55,,3188.6,54,2653,0.727167,66277,3.91,0.5,44.4,527.4,573.7
sweep_m15_fps2_10k,brush,done,,,24/24,,2676.2,22,2854,0.577586,26970,1.59,0.3,16.5,336.9,354.8
sweep_m15_fps4_20k,brush,done,,,48/48,,2659.8,36,4921,0.618693,131427,7.75,0.4,106.7,770.2,878.6
sweep_m15_fps6_30k,brush,done,,,72/72,,2666.0,53,6193,0.692708,698267,41.2,0.3,95.3,1575.1,1672.2
full_1fps_150,brush,done,,,150/150,,2317.6,88,8240,0.591715,47004,2.77,6.0,75.8,724.5,808.0
full_2fps_200,brush,done,,,200/200,,2287.4,63,7620,0.622281,153279,9.04,6.6,145.2,801.3,955.1
